Block: 246
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
109022 246 2021-06-27T15:51:58.947Z 2021-06-27T15:51:55.070Z dc250edef9f63c3493fe65acebdb2a8def64208f34214161df5dfdebe32628f4 a55faf5a8f6c46dda4052ef304cca0571e2431995ea3ed623c39908538aecffd 7da71531914d3c248cab3cee7610853053d3bc37084699353595b8eedc0717df bcb9bdc0044964442a4c58c80bf76e64a8399650fb9d4085f867d25702344aa3 6db4928602dfd9b34179a02fe150e20757bdbaa8eb0bf3ff10a3a5f4e3a4fabf AME 5 03bbd4f796efb07fbeb1d08e08c2cd46fa341f831e7543a3bd8c9171536cd9896a 029dceabe9aba1e3182266ed739676cdd4230ec36abeb89f7c464418c0792d4171 yuhihuDHEN/ajj+nqFbsc5byoZDCC3pB6NI6gwrXpo7H3O0Y+fYij9G0jcFMxRyaWSeAk05qGdd7EwiChFaL7A== bcb9bdc0044964442a4c58c80bf76e64a8399650fb9d4085f867d25702344aa3 leo/H87bCjv7bCCIo0kqlwb1gJ7YYOSXzmqMpIw3S8vVxuppqNIPwz6iLCyU4cdUxngG9OomzsYCG6MivCW4iA== 44Ry9GOtBRdtdPxquToC3VsGwwc7xlbY3/E54qghdc2pMWM8RBkDGv4VZHQOqbd4/eGNqKegMBdFTzktNiDAvg== h7X9QtQH6UhaiwmyM8+tDgauzUWutB0zf+LPM91MLl68B9i/HpJgps07gX9eVe+kPXc5TracJXqEWgmhiOFbew==
109023 246 2021-06-27T15:52:26.627Z 2021-06-27T15:52:24.590Z 03b78ed752361f8d310bbf654dccbeacc3bce63fa4b731e3f55905cc11152dc2 03b78ed752361f8d310bbf654dccbeacc3bce63fa4b731e3f55905cc11152dc2 03b78ed752361f8d310bbf654dccbeacc3bce63fa4b731e3f55905cc11152dc2 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 245 021b0771d47241f8a0a77037305c84b8e1c729ca712d1e84f57d1b4af48deed156 0271a08125e683b46844fed07c1ad76a791b5f1de67132b68dbebec598486859c8 hOKFQYktqcfE+JgL0mentAQ2S+VojpnNFC+f3R9t/GuNDnuSub2kQbPk7kjigVqQIC5zPQaGD5/jyinpVCebnA== 03b78ed752361f8d310bbf654dccbeacc3bce63fa4b731e3f55905cc11152dc2 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 2K9RAo40ya/InCDYunXlRsmu7NNNYvGfvYTXbsnnldVfTV1Ox8BOhqGAlOn7Gk78dRnwJk10HoTZeh4rBWMvJQ== 3sXjvAUGpbvMYQRkpL/Xo2s94ec0Ix+qZCSWypgxtjtKaxQkipK5gPvF5mPNnifUDxWfjI4yNfArWcanzmMDeQ==
109024 246 2021-06-27T15:52:46.274Z 2021-06-27T15:52:45.800Z b901edc0966ee54334ebc4302aba6351f0861f10c4d056a24d7ee97e3e6dfeda b901edc0966ee54334ebc4302aba6351f0861f10c4d056a24d7ee97e3e6dfeda b901edc0966ee54334ebc4302aba6351f0861f10c4d056a24d7ee97e3e6dfeda 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 245 03efbf232a1ba5ff9493edadac2d49b2bc5929c5e1e08c4c992b3dd25b16b78460 02223b2ffc044a5fd8890e6eff8a217e32092ab7d61a8516c5dd9a56579423c4f2 RYn9VGP6ags97ZW3rBdFQK5u8y6JuTHKAwxexo2a1v/Rf9wVK51uXU4O+yJ4y2WG5aVkhK7+f8jk740ISC4rDQ== b901edc0966ee54334ebc4302aba6351f0861f10c4d056a24d7ee97e3e6dfeda 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 OCnX7COd+49rgw/k/IhHEewy1iq9YYyUFawPSmZZ85o3ajqO/hQ9a4qKW5MpaLwGvoMqRMz2t6xtends7PitOw== 16kY1ELLp5bYCSiXPY6Lq3LhxNyZVTe0hiEW5SD1cl7qp8ToboOKQV6FYqYNbj1oLYatcEcjZiNZciCFp1bAzQ==
109025 246 2021-06-27T15:58:43.873Z 2021-06-27T15:58:43.486Z b03eb074cebe3c6c09bcc2e212e867ac78687fdbb7d82e4c1e39a023600e75a3 a032b1cc5f06068024839729b67f14bb83bfb82a72297d3c8b65425dcc53b01a 9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 TRA 3 02def92ac1c7630a92fcb79e3d9a528acdf5518fd64b916bbbff40af9789c48aed 03a0141c552ce81d2e15df77cf0af4c135d4e7175d65cfd21763398af256fc88a8 KJFTVZpnoIv8MqBmOaQ4+5yJaXYGaYu2BHBCCYUfJEdNVpmuyeixQsM6qGd+gZKfYYKqDsA77ZUd5MeWuxgdvg== a032b1cc5f06068024839729b67f14bb83bfb82a72297d3c8b65425dcc53b01a 7Af734/OD80C1pdZrpxyPjPvsdBCz0qvC0iEbl+J2MuSU2mUlPTvtYWfH6bOhR+bDrEtWqjWKfXmWOXptX+Qyg== Gh5XurnmBf/DHHsm/iIlqWLyGQJRJXOATA0A/Lo0+zO5wlSOUf1FBGreiFo5pGXVukVHjg8UusIjIr+Luhpf5A== zwGErQtEpOkkd1Pk3ZTOCZfiVGFSPgp20Zisvt9bh7cec5ga9A8CcMAkapDsXZXatJfs9tRUxt98PFPtcXr6Yw==
109026 246 2021-06-27T15:59:26.272Z 2021-06-27T15:59:24.401Z b03eb074cebe3c6c09bcc2e212e867ac78687fdbb7d82e4c1e39a023600e75a3 a3c67dd596d336d866be1c2a3a7f4574af06516574f616a735941b1670ab71d6 9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 AME 4 02def92ac1c7630a92fcb79e3d9a528acdf5518fd64b916bbbff40af9789c48aed 03fbcd5bd6bfce7fda062b2552efdde1ce9cbb8bc8eca082f26114207a3d622e05 I0yRc+EoxwSGmfvEWSjELFhR3FlCK70aFJmaNUqV41DvIREpgyQUARhmIjvnoTSiNwZ0nlhoPQEwn6C3aIAWTw== a3c67dd596d336d866be1c2a3a7f4574af06516574f616a735941b1670ab71d6 ipsS7zNW0n+uc6NTq/auh0j6y2p6vuufxkGP5fpKAN88EUKJI7AOiKIgMdaKilcBzKF++Gp3Uti1sUN7GlFzdg== 9y3LcOrDNgo7XM+akzDWXJ9cx9Dmn0xKTm4jA/pV2G8Zk0Ow2Kxb10uAPAcwh4IGAmJLOPAnfU/Ct0FWcvm7zQ== W1sCX73HItr8gJGT7Vw8bch1ezSG2vLij518SbiGDeP0QRMuv2xShUb16jfudcr1cqlr/uF3lb8S5btTwexWCA==
109027 246 2021-06-27T16:01:31.374Z 2021-06-27T16:01:31.005Z b03eb074cebe3c6c09bcc2e212e867ac78687fdbb7d82e4c1e39a023600e75a3 67d9ccccdcf187e2094a50ab7dc6885457a6a9d511f40a42229bfc57c54fcf71 dec2e4bc4992314a9c9a51bbd859e1b081b74178818c53c19d18d6f761f5d804 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 TRA 5 02def92ac1c7630a92fcb79e3d9a528acdf5518fd64b916bbbff40af9789c48aed 0293e4e107733bad54c37a4da492ff6c30a9696002ca8bb6ed7978c96cbcb66b60 pyeYirHry7DV1RaEdLgaEo4KipfAogA+yAsyl/8Xexy2l/efyK6rPtaEavf3HmERSzU50lrGKjkdbVP5D1cVog== 67d9ccccdcf187e2094a50ab7dc6885457a6a9d511f40a42229bfc57c54fcf71 72dg3H73nQ8fSIei/M8ZH8MepQOWwStDOUU+odoCk3r0NGJ7BiZu4sZ5bBCoXctEWh4GsZETmPtznw0ySkOChw== H5KXRCuk1nwj2pwjyAr3rB5qpapxdBYF6NHxA+l7tLe0bdrGIVnd9mApp+wiBulqInuUjAklRRo+4kZxyzHG6Q== ZbfUs4Lcj1hihtvygVpMJr9vy6jdx7V+t5dgwSgUH69JVWAmgY+PCC1mxfca8ZqwM6RagqKs6zbgyJGaMEFb0g==
109028 246 2021-06-27T16:03:12.579Z 2021-06-27T16:03:09.197Z dc250edef9f63c3493fe65acebdb2a8def64208f34214161df5dfdebe32628f4 57a40872f3cf45076529b07a82498d8c714f1f6aece6725bfe1f950deeed8714 c68374b3862e7ed7821c8881fc58741a8fa9bc6643803bf8d5cc842c9cc2b8d1 437927691d61b9963f69d3e8d89a1c98f1625b560b099ce3f3579125312d8fa3 4022ed515d1ec55cf328aea60207c61063ef733eea43eaadedeadcde21c3bacf AME 6 03bbd4f796efb07fbeb1d08e08c2cd46fa341f831e7543a3bd8c9171536cd9896a 03492705770c42c3b8a4af0021de1771d4e9a68e726e7817a1c66821f82b3200c8 SKN9vDxZxLe/WVfWZlRj7fGXrUbsnPVdaVbMRx7Dn1ngOHhmIIEpNTNiYzJ+H7aic5DeS3q2cAWOYB4GIR95nA== 437927691d61b9963f69d3e8d89a1c98f1625b560b099ce3f3579125312d8fa3 Upn8NjkzClU+YmM9QUJThzYImOA6/ffc8K4AaLU5ijc4Qlm0JpSej9dsuQjpd3cMODyydfsa+TILIQ/j8GATuw== Xz4W6WAaCXR0OrcSzz5BoPaX4sUxskh6mE8p0pX/upp49ne1JqgGveTULeK/SZC7A4i6Jc4nQnmu3Wq4TwuRrg== 6wmmAms87L3FqyOPIB149IdBHlLQ6Xgf5GwZIHD8iKmHwTfp2pPhP7ZMrg45CI9iyZT0aTWM0hAXcBOAvO6bxw==
109029 246 2021-06-27T16:09:34.670Z 2021-06-27T16:09:28.804Z b03eb074cebe3c6c09bcc2e212e867ac78687fdbb7d82e4c1e39a023600e75a3 6b0779320a012ee24d9a4f28a6d00e64b9e0a35fa2b08c041cc775eee5c1ff57 632cd2fea71dcde005af4e07f14b8bc1f68b63d9c1b373dc6048fb87e90af22b 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 TRA 6 026d02ecfb8f360349a66b56053888e9c29746fadbfe7866395f6f780f608bd335 03b39b4c0a71babeb0133046d4ea53d6f2f1bdce758f7dff2eb3672da7ccfc54ae 99sYOqMvIv2X6cZJhan4iS6xha56iSY21Ux2nlfUNEslI1A5Tv9r5w6MnOAxNsHEnquuACwbCRF2UZxXTVxHxw== 6b0779320a012ee24d9a4f28a6d00e64b9e0a35fa2b08c041cc775eee5c1ff57 aTjOIoXFE9BBbi8xbRDFka1TZbKZ2fnKz2gOqAusA8gv8WA0sEujrUqwOet1/wPVOPJKneFSljxzTwofX0RmYg== aZ23BfraevrvhoXk6JHiv4YE2XTCg4il4+1xj0e95GURXCS8WmLd0MfQGa2YBfJVY2z9lTfEeOr7+natUv1IzQ== fSG/0f+lF2wj5ex246o+w8HAsQ5ZXus+FzB4M8p/kcR3o3bn84dxibWPirW98nUccjQUGJVLpYyZwTewdVJV2w==
109030 246 2021-06-27T16:09:51.684Z 2021-06-27T16:09:49.134Z dc250edef9f63c3493fe65acebdb2a8def64208f34214161df5dfdebe32628f4 bcc7ffc2eb42aac20a2d16129a3507117a14340034e3600887509a2ea2a9a813 e78d8ce49abca9b81e9ce2877fa20aed988dfbd66da2cadec156f563a56480ff b39131763e4f02ff78ebd39ffd60581a53c2aa89e63c8100f2c3c7480aab5318 ec44ec0d5d97d9a3c0949d26899e82a22111367bad2bb408e58c285fbdf06a14 TRA 7 02ba047a2d1a9d2bc9f469ea6b933bc7c253188ad038bd81851cc0040a484a96a4 021f77118a303441ad61cef147b07630fbc2d75ddf379201db5c8b817f58167b19 DDz7iX1Bx3gi+XDhKu0uPZ03s3HiOoUpL4/0G1tMxl3W6nEG8UMr9x66/7AMunpTTZ8ru5DDwBcj3w18rv8lUw== b39131763e4f02ff78ebd39ffd60581a53c2aa89e63c8100f2c3c7480aab5318 Lv4W4QRcdoaTPC9/BLNh+Emb1stG8OooPoUHtYMeHA05A2zFs39xAQ+jyH1ArJPHDxBz4GL+BXQwRVHU0fhVvQ== P5Is7x5v8PBv4NLLmE2/kLOiZUOAdI7wTKIzE9HbhmnDXF6xMvVp2KiBa1pDoofFNZVtHnqZGPPs/PX+GKM6cw== CpwWpdTX83zIeMhBWNVgUq90l0L/f/qOUmPZ3QRxheqVp+9tRNjByrShc6bXhJGyrDEZG+/Z7jcTnmwU7sV9/w==
109031 246 2021-06-27T16:10:59.197Z 2021-06-27T16:10:47.260Z dc250edef9f63c3493fe65acebdb2a8def64208f34214161df5dfdebe32628f4 19b95137dfbf1310f29569124a44c2364e64a809e0cd331b172037d07b145645 63ed289d8d017066841ee63754da6248b3a198e9440b721a255a30403f08aefc fc393657c4a3f81026a5962500a79d301d6977332789e2627e92dd5833daecf0 ff45bdbe5adee022db2a6220afea3024cdd67d3a62245f70e9a1181b8b9db277 AME 8 02ba047a2d1a9d2bc9f469ea6b933bc7c253188ad038bd81851cc0040a484a96a4 030c7ab88d6c84958c8eb9af423efd47c6d15a50fcc0630ff4a0270623bb071c6b MEYCIQCYqLWV5HDMkNa/joCiSbih3W0Y6vMEjHHTJ5Asb/WL7gIhAJuls5A6JC+rTOaCSVFFAH0QKGW9s4+5HiYHOMPdOx+U eyJhdXRoZW50aWNhdG9yRGF0YSI6ImlpMkc2OFh5c2Z1S1phYVpwNlhRemZCZklXZFJJWW01VmpqVlBWazJzd1VGQUFBQURnPT0iLCJjbGllbnREYXRhSnNvbiI6IntcInR5cGVcIjpcIndlYmF1dGhuLmdldFwiLFwiY2hhbGxlbmdlXCI6XCJleUpqYUdGc2JHVnVaMlVpT2lKcE1GWmlOVVJ3V0VKUU5TMXhaMFo2YUhWRmVXZHBWM1JWVUdkQmNIQTFXRU5mYjJNeWRHcHRVbmhSSWl3aWJXVnpjMkZuWlNJNkltWmpNemt6TmpVM1l6UmhNMlk0TVRBeU5tRTFPVFl5TlRBd1lUYzVaRE13TVdRMk9UYzNNek15TnpnNVpUSTJNamRsT1RKa1pEVTRNek5rWVdWalpqQWlmUVwiLFwib3JpZ2luXCI6XCJodHRwczovL2V4cGxvcmVyLnN0YWdpbmcudHJhY2VvcmlnaW5hbC5jb21cIixcImNyb3NzT3JpZ2luXCI6ZmFsc2V9In0= 2f13l5rf50jpips3UIcYMmtI9onu3/sRedqYiwBqs8nAzEI6bIAtDpRZTlssN2unkNNWStgfa+JKFdLyeo4QeA== VH2r9PQYRDJAevvBLeEjwisNcEoa25tzhhj3dStXDVNuww0NVirp0M5xGD5ta4wEq2Ju5LWFR7jJe1rFR4YnYA== V9MaM2QQcNlfM7YULEMvl3iYDardgu/acjrj/2ieV4pSCgEyhMawwktMrX5JPP/s7JvvHlRlDQMXlzNIaEp1OA==
