Block: 46
Row TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature VersionSignature LedgerSignature LedgerSeal Block
44288 2020-05-03T00:01:12.421Z 0396361ba4d1297d316de864738d5bc8e306c0f1ee287c52d1adaa26d1149dd4 bebcb78aae40f93a1c56f351b192a014b669e5debb617564022f6e306dfa6420 0c9cb993307f9deabf92e32f7b14795d77e186b49037557628e1019e9ea74841 AME 8 0374736a71eeb29eed3e242e57e67a747c8bb8a1fd11c01e52835686b8052c3447 02198c7c090afe98ba4d23faff2fc71394804ee1f97ef2b6e635c21687c6c56134 nZWNmlmKf13VlKmY4cC0uVO4t/wavpPu+6+PqorvHygv7aT77Xbpp847uw5QF+zv/BrYheOhy9nXnLIk4NguMQ== zGldc7s/VHV/lvd74WcgeZpO4xdnGSbz3G3S5/DF1bzFhGPHrZY6RRzpe54NfTXYCDSIj8QXrPvcvf/LbUXiqg== rssTpJ8KL9D5MnpUSnhVt1ANlAwfS7ilT5GjIMkym7wmsFZmCgesvyVXNHSX0NbNW75zP1rTtgXdfgbeISW4gA== nlbdHy+9XatGjD06Y8MutuNkJgr5U64//7tzL9uhOJyI6OGCx+yEdxpYx80Kz6AHjjGMlAscroJ7sHC/F2Gikg== 46
44289 2020-05-03T00:01:34.504Z b8572958d910ce9953e05be4e5420010cb5fd129e661f30afbac1e7b5335be43 b8572958d910ce9953e05be4e5420010cb5fd129e661f30afbac1e7b5335be43 b8572958d910ce9953e05be4e5420010cb5fd129e661f30afbac1e7b5335be43 HBT 45 021b0771d47241f8a0a77037305c84b8e1c729ca712d1e84f57d1b4af48deed156 02bec7a4f420f4913345184d78ed584524864313a3a090cc700b711a613e11e254 VL8G4QIuLlE/8oanXbUh54rQ45Augf0LcPqgKV9S8kuA72G0kedRdznKGb2g17ENmRuhyr66EzDbamGBiYIjzA== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ZFKAuMaaigXv1+LDZc4gW0s4Cs2xpuP/ZjzsQlAlYJUf4FRKjv0IaO644stRaMfKldBBI9nbRlIq+ESOgOVmxQ== 0kJ738ZaKsU67/lsWTyJI4r9dEg2R1ptBhkNOspwH6UaM1Sp5IdSOYIGZ26cXiVhYhgxUsviH8VkNRAeu6s5Hw== 46
44290 2020-05-03T00:17:27.987Z 362b196ec44276fe6045358e5b5504950dab930c8b0b9b50eaa4800369c77f78 c6b172e86b063da6f0beb5dc31b5bbe38d8fc24bc37f4d6dfcc0cad85339d1c6 96927559ae9fdae6b208328ed7287109d8106ff08988eff548fea90d26b7ee80 AME 3 027f1880370584f1acb40e42540b0adc3339d6317a3a1b16f9f7eeeb1b6d185ddb 03b687d3bde8e4b21d254de79b5962e04f28f0d9a7871af4d462c21bcfdd8eea56 tft3/8VW5I/9BEPCuPSkYQ3Sjm+vJM29fDS1jElmjkT7qiFS8+FpdICpAqPsrpG+O+hlZCy/1zKY2lbRkuBkvA== x0pa0B9KltVNSwvC8wHa1u2l6Rqe5fNkQ6R9PMIuGE/nrY9G9skV3gy1p0qunVODI/JpyD7AFoWNMPjR7Sb/8Q== qqD1xuj9C7GzIhoL3KQrRCG8+KoPSPH+JYDd3lOacnbJfFIqZz9AAVm0BZ85pTQLyomWVEVXfAqFYivpqhlJfg== wy+lRsygrW1VvxZOMv2WpVlVqI38zVTHz7J1b5wGEUJmBI6cVerFnzFU+w6XokR8V84aYhmR2i2OLqF2R5yu9A== 46
44291 2020-05-03T00:47:21.387Z ef92f335187c4b2c45dc0421f4744c3f11443cf81b1161c5e9488c42c515e9ec ef92f335187c4b2c45dc0421f4744c3f11443cf81b1161c5e9488c42c515e9ec 7fde57f4fe6bbbce2573feadb83009cdc85afdcb9fd2b1237b58ad80921c12bd CRE 1 0315ebb51d5ce7b9f48d732b271230192494c9a02490ca6eebd188c13fae78ada6 02c8eae2c66fac840130116f4b30db4ee29063d0533525ddd9d355e9e8669d41c6 RgkB8iGVxR3HDNsY9eZxPKrwv9KBZ57CDftoJF8uZoKrB8NbgpTTQ2Nz5UMbkxf0dxS2zItnxkFfGyRFyYTpqA== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 4JSWBPav25F+HEGPEMHjYa+9CzEjK7/LjOuGyU6Ie5nn5jTk4EsJzyHkOu+igzFFkRONdrG6ViN8MCIiOP6BxA== 3C1p1kJ7Bipi7JlCKFPJHrQEB2DcF8yYoJ5LN6HczIhXLd6TS8K7YNRhJ3zo2uJVMHKxfWyUR+GSJxsriBjs5A== 46
44292 2020-05-03T01:03:23.183Z a7c86a46fc6934f641d17cec734a7347c171a14deaf8eab191a47fcebe695bb4 4f22ba01a3391658334b79e9d2468549661c4d83b388f2545623a773e0a9ab7c ce165a0fbb3885cc6dbacaf09576474e4248349e6ab49f608aa87b1aa75f9c66 AME 2 02b2724657ef8c794d68a6e56373e8cd59c13b83cbca36cb9e069b08cb3ece9eb9 03d6f177e3ca931454b6cc65653bed9c0768d9f19e7e0c19d7e155377fb787e4d5 F3xHwNSs/Xqncs6FQyFQlrE7xL6qP6sysf90mYARNc0GZ+37LZ8NFgQETzeiZ/a68iRbvvFmoSjTRmNa9WqfFw== Tx5HdWhwC/Pea4lu2dR4yE8lgLQFjF8EGeP5nq3Nd/QQQDmB4F2X9v45a9Xi/xtfIOAUem22fmsVWkUVUL16yA== ZMHALnn2xVWgtA+aOMXwHg70nzIjWRHZvLInHXewBnYVUemUrWeu4h5KnxelxIQxsmRI/yUh02IBCEddXzQzpw== KNQA6JdmHjJxHBnUybq9azj7jHK/GYh221LMAghUItwyi0SkXKkgVV2EGwrorVJAIU84IhzyjzvLHuxoM05+uQ== 46
44293 2020-05-03T01:29:58.56Z e2cf18b0365a2ee7a8dff801c806714af2fb397464772f3382ac12192500e5dd f037fdb2b62e1301c4c1713b4ca69cd262d43ab38d5efb9618a5a2b56e8cecfe 8a4c166ef48764b71741da04ba342e82b8036732bca0aa4bf3b63b488ced362b AME 10 0393ff56994cfd0a9884d0ccf566b45436995ee9c8a9f34f3818634a9b17cb1dd9 036981c942989d2abac6186851c4c73e12cdefe70ef7d9b1048838b0a241e5a7f2 pAoozKn8xG+1VrhMpK1PCorWgjQfPE8QzepJqLgh8PPKTCqtHKpCLMo6wqjzvh/E9oVBWIsYKHAg7nGh3tV6Lg== XMf1H9qnaN3duapOvRRgiEB+kZED5o8vZ+DtpBhbtMUc7F7qy1Fb1UYGP3KOvdIwWN7SJyYGlA/B0jHw3LmqcA== 2UaKd/Y7D1M/Sc1H8DIs2E3sZGiC69rE2ghxVuE3GFSpej2Sxt4pvTCWeEIcAfGpisNx/qMJ/OJOQ1yRFWrxYQ== 9kZJbp6tpLAWsPrYg5mP1GNX4pHcZjaMrUAauat4ALd58+NfrzDs67hBgs0/A2ctLcp19Ss/iDZyJty1kKCOag== 46
44294 2020-05-03T01:45:52.06Z 99cfc3d718643b8fc1506db6539d273544f5dfe784ca0d7d313e44e4878b6ab9 99cfc3d718643b8fc1506db6539d273544f5dfe784ca0d7d313e44e4878b6ab9 47d73d4b1209208efd0c5384451966c4b2ddc4f0cf2bf094a173c66152a9f112 CRE 1 03fe9cc44379c551e30519d41ca770b1d9df12aa0ed28b5252880a66614946fde8 020da60fd53a801e69f5ff051aac29bf482f3627e7516d7c4dd0ad84afdbafdfdc uHs17TT1R9D/y3GWmMfL5wkDX0MMLKotIRi/C0Y1wO5+k6Sh4QKcUJc9DFxpehuUY7/cQB7xKtMaHzAiz9Poww== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Iw1vKXhtffZyMGOF+J1Lzc7w5RwCad5ELMWzmQWQjFKrqqIy4HwaFUxIDhyb+IT9855eojpZ2Wiek0vfxeYP+Q== 7/CeR4V6Eujw3CixXBCc7q1nqzV7SOBx6yCptR4iwbBB2kVTiUz/Nd517cNsdAwjMJfL/7dR6tbc5Z4nvTbtZw== 46
44295 2020-05-03T02:13:06.252Z c24e9d0a6f9179e18debdf1e2b1a8a14f99b20dc514116f1035cec46549bb27e c24e9d0a6f9179e18debdf1e2b1a8a14f99b20dc514116f1035cec46549bb27e 4c0b4356e50f0ee7e211fb183d9a76f1a5c028350574c0fc86735158321c3392 CRE 1 0313172ec1234fd11461c15545ca31560e3ff5f85ab988b9365d5400825d71c9c5 035ddbe7f2e5b6c4fc845f70c137279e2449657e1fc1fe4b6cd9acd5e36363e256 kWaLMXwnx/mc4wmcIX94096Ltfr4gr/Q0rPBwIx4UJNNr38TSLpWQARA6w8JNtJPWvt9jq0h43d3TCO5AxVTeQ== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 beuDOYk8O1RZumxI+dtZhEcjhOWM54rIP3UIgLbiyHwS7UVJPzXOh4ZotV0PKy9DIGLLnigZAIpQMvnwd1OqJw== 6MkEHLGeuqcbIhaoTxqIPh3jL827PPULf0sqltIY0Y8csE8HA1RK60rWTrO/9uObcveI/2VxBVeCQowAF1fk8g== 46
44296 2020-05-03T02:34:14.843Z a84849e2b949938bbd59e82465202b7ed29929a75b1f137fa31aae24f7007db8 a84849e2b949938bbd59e82465202b7ed29929a75b1f137fa31aae24f7007db8 f56e2508fbe3a19595c0127b961020dc2d7b59df104358573c35d57f7bf13df0 CRE 1 0225d10c026ad4fc329a73788be1d3b7b01824d6bbfb3b04f4a1cc5058d053828f 025956bd433ec89220942dfb97bb713be511385cc7cbe972ac0a3a8a239bda518c VjphFOQa1IXH0CeMsvKEtZ3mSzwsp3GbD+HOzNVoJjUT6k3QTQ/Gi1yw8bu04D3pO5QSI7DnFNXTDJ29IJkQ/w== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 64r2nZ3v8Dbjz/ipp0jNoMv0vT53Ka/hrfU+qu2oM8t49TpmcpgWCxOjHBW6WfXJS3dDdH5Ks6wc8eSmjWf4tg== kYqh8KfmWXXULIHLNt0ChQGFqUo1hY0sliL552eiOSeic2FI0Kk3b0rkfm3oEPHoQKnv5A1ARUkprvBmGrQ+8w== 46
44297 2020-05-03T02:59:49.839Z 077940c94f914bc8a8a89c4f9d0246fd1c2d2ab1a68b9d249610ae50eecff8e0 035c63fb5e430ce11b374d0a9bea04290402c5951e0b9c862d4dd6f9ba60e01b 6c538737e23a3db880e1b54d7f930c60b6e1a89c28f96a3bfb0b0e45c864e476 AME 3 02d3720038c6d5129dc7448470bc5e7518690bf2fa3ad73d83ee7d366cb1d4e4c1 02fdafbba38781b6f57eff9e9a5bafacbf76862c5823c06c90366b9ed50e443f9f gtIpPktoMSFi6T1LK/cuXFiyioGr6W90SgcLbjDTdQv30XbgmrdfutVz1QZjRh6GtuNf54FGyqbf9sF1R3eaSg== ZUPv4oUbr0qT+aDi/oL9ojj1rTLigHjxFoEq66fcVQaU3+gPKPn82kDh/AYUu9/tsjEol1sU23feLz+HZXlJnQ== kqGfLxN3HULZhjUktlvWs+t0kxX+hj3vS9Rc/QR4uwb3zfje2ggNTIOfvgsLhtcuQc+BT1Zx1Ln/yUXGFnsPsg== talq+x70BZrQvSLff40N8b8fa9Le7/WePIa2e+DastF6amXheJDNP68rvIJHP/C2fUj3DsQoQglFRsX2QeYgWw== 46
